date,venue_id,sku_id,phl1_id,phl2_id,phl3_id,operating_minutes,country_id,price,promo_flag,promo_depth,in_stock_minutes,stockout_flag,units_sold
2025-09-01,V001,S0001,P1_01,P2_03,P3_009,900,FI,0.55,0,0.0,900,0,67
2025-09-01,V001,S0002,P1_01,P2_03,P3_009,900,FI,0.55,0,0.0,900,0,45
2025-09-01,V001,S0003,P1_01,P2_03,P3_009,900,FI,0.65,0,0.0,900,0,32
2025-09-01,V001,S0004,P1_07,P2_21,P3_063,900,FI,1.75,0,0.0,900,0,51
2025-09-01,V001,S0005,P1_07,P2_21,P3_063,900,FI,1.15,0,0.0,900,0,39
2025-09-01,V001,S0006,P1_07,P2_21,P3_063,900,FI,1.95,0,0.0,900,0,24
2025-09-01,V001,S0007,P1_04,P2_11,P3_033,900,FI,4.99,0,0.0,900,0,17
2025-09-01,V001,S0008,P1_04,P2_11,P3_033,900,FI,4.95,0,0.0,900,0,22
2025-09-01,V001,S0009,P1_04,P2_12,P3_035,900,FI,4.79,0,0.0,900,0,18
2025-09-01,V001,S0010,P1_04,P2_12,P3_035,900,FI,2.09,0,0.0,900,0,11
2025-09-01,V001,S0011,P1_01,P2_02,P3_006,900,FI,3.49,0,0.0,900,0,10
2025-09-01,V001,S0012,P1_01,P2_02,P3_006,900,FI,2.19,0,0.0,900,0,32
2025-09-01,V001,S0013,P1_05,P2_14,P3_040,900,FI,2.59,0,0.0,900,0,36
2025-09-01,V001,S0014,P1_05,P2_14,P3_040,900,FI,2.65,0,0.0,900,0,45
2025-09-01,V001,S0015,P1_05,P2_14,P3_040,900,FI,1.99,0,0.0,900,0,15
2025-09-01,V001,S0016,P1_05,P2_14,P3_040,900,FI,2.95,0,0.0,900,0,32
2025-09-01,V001,S0017,P1_06,P2_18,P3_053,900,FI,3.95,0,0.0,0,1,0
2025-09-01,V001,S0019,P1_05,P2_14,P3_040,900,FI,2.85,0,0.0,900,0,1
2025-09-01,V001,S0021,P1_05,P2_14,P3_040,900,FI,1.35,0,0.0,0,1,0
2025-09-01,V001,S0023,P1_06,P2_16,P3_046,900,FI,4.29,0,0.0,900,0,0
2025-09-01,V001,S0026,P1_08,P2_23,P3_067,900,FI,1.15,0,0.0,900,0,0
2025-09-01,V001,S0029,P1_04,P2_10,P3_028,900,FI,1.99,0,0.0,900,0,0
2025-09-01,V001,S0031,P1_02,P2_05,P3_013,900,FI,1.59,0,0.0,900,0,2
2025-09-01,V001,S0032,P1_02,P2_04,P3_011,900,FI,5.15,0,0.0,900,0,0
2025-09-01,V001,S0035,P1_06,P2_18,P3_053,900,FI,4.49,0,0.0,900,0,1
2025-09-01,V001,S0039,P1_06,P2_16,P3_046,900,FI,5.69,0,0.0,900,0,1
2025-09-01,V001,S0043,P1_08,P2_23,P3_067,900,FI,3.29,0,0.0,0,1,0
2025-09-01,V001,S0044,P1_07,P2_21,P3_062,900,FI,3.19,0,0.0,900,0,0
2025-09-01,V001,S0046,P1_08,P2_23,P3_067,900,FI,4.25,0,0.0,900,0,0
2025-09-01,V001,S0049,P1_01,P2_02,P3_006,900,FI,2.35,0,0.0,900,0,2
2025-09-01,V001,S0052,P1_08,P2_23,P3_069,900,FI,5.29,0,0.0,0,1,0
2025-09-01,V001,S0055,P1_06,P2_16,P3_046,900,FI,3.55,0,0.0,900,0,1
2025-09-01,V001,S0058,P1_06,P2_16,P3_046,900,FI,3.19,0,0.0,0,1,0
2025-09-01,V001,S0064,P1_08,P2_23,P3_067,900,FI,5.19,0,0.0,900,0,2
2025-09-01,V001,S0066,P1_02,P2_04,P3_011,900,FI,5.19,0,0.0,900,0,0
2025-09-01,V001,S0068,P1_08,P2_23,P3_067,900,FI,1.95,0,0.0,900,0,0
2025-09-01,V001,S0071,P1_06,P2_18,P3_053,900,FI,1.35,0,0.0,456,1,1
2025-09-01,V001,S0075,P1_06,P2_16,P3_046,900,FI,5.95,0,0.0,0,1,0
2025-09-01,V001,S0079,P1_08,P2_23,P3_067,900,FI,2.95,0,0.0,900,0,5
2025-09-01,V001,S0082,P1_08,P2_23,P3_067,900,FI,1.25,0,0.0,0,1,0
2025-09-01,V001,S0085,P1_02,P2_04,P3_011,900,FI,2.29,0,0.0,0,1,0
2025-09-01,V001,S0086,P1_08,P2_23,P3_067,900,FI,3.69,0,0.0,0,1,0
2025-09-01,V001,S0095,P1_08,P2_24,P3_071,900,FI,2.79,0,0.0,900,0,1
2025-09-01,V001,S0101,P1_03,P2_09,P3_025,900,FI,4.25,0,0.0,0,1,0
2025-09-01,V001,S0106,P1_05,P2_13,P3_037,900,FI,4.15,0,0.0,0,1,0
2025-09-01,V001,S0109,P1_02,P2_04,P3_011,900,FI,3.09,0,0.0,900,0,0
2025-09-01,V001,S0117,P1_02,P2_06,P3_018,900,FI,2.65,0,0.0,0,1,0
2025-09-01,V001,S0124,P1_08,P2_23,P3_067,900,FI,2.35,0,0.0,900,0,0
2025-09-01,V001,S0128,P1_06,P2_18,P3_053,900,FI,3.29,0,0.0,900,0,1
2025-09-01,V001,S0131,P1_06,P2_18,P3_053,900,FI,2.69,0,0.0,0,1,0
2025-09-01,V001,S0133,P1_03,P2_09,P3_026,900,FI,6.55,0,0.0,900,0,1
2025-09-01,V001,S0139,P1_08,P2_24,P3_071,900,FI,4.59,0,0.0,900,0,0
2025-09-01,V001,S0147,P1_08,P2_23,P3_067,900,FI,2.09,0,0.0,900,0,3
2025-09-01,V001,S0149,P1_02,P2_04,P3_010,900,FI,3.55,0,0.0,0,1,0
2025-09-01,V001,S0150,P1_07,P2_21,P3_061,900,FI,1.89,0,0.0,900,0,2
2025-09-01,V001,S0151,P1_08,P2_23,P3_067,900,FI,2.35,0,0.0,900,0,1
2025-09-01,V001,S0157,P1_06,P2_18,P3_053,900,FI,2.09,0,0.0,900,0,0
2025-09-01,V001,S0174,P1_06,P2_18,P3_053,900,FI,1.29,0,0.0,0,1,0
2025-09-01,V001,S0175,P1_06,P2_16,P3_048,900,FI,12.39,0,0.0,0,1,0
2025-09-01,V001,S0178,P1_05,P2_13,P3_039,900,FI,1.99,0,0.0,900,0,14
2025-09-01,V001,S0180,P1_02,P2_05,P3_014,900,FI,1.19,0,0.0,900,0,1
2025-09-01,V001,S0182,P1_08,P2_23,P3_067,900,FI,2.25,0,0.0,900,0,0
2025-09-01,V001,S0184,P1_02,P2_04,P3_011,900,FI,2.15,0,0.0,431,1,1
2025-09-01,V001,S0191,P1_06,P2_18,P3_053,900,FI,1.99,0,0.0,0,1,0
2025-09-01,V001,S0192,P1_05,P2_14,P3_040,900,FI,1.6,0,0.0,900,0,1
2025-09-01,V001,S0203,P1_07,P2_20,P3_058,900,FI,4.29,0,0.0,0,1,0
2025-09-01,V001,S0204,P1_06,P2_16,P3_046,900,FI,2.59,0,0.0,0,1,0
2025-09-01,V001,S0206,P1_02,P2_05,P3_013,900,FI,4.65,0,0.0,0,1,0
2025-09-01,V001,S0208,P1_08,P2_23,P3_067,900,FI,6.99,0,0.0,900,0,6
2025-09-01,V001,S0210,P1_05,P2_14,P3_040,900,FI,2.95,0,0.0,900,0,3
2025-09-01,V001,S0212,P1_02,P2_04,P3_011,900,FI,4.05,0,0.0,900,0,2
2025-09-01,V001,S0213,P1_02,P2_06,P3_016,900,FI,3.05,0,0.0,900,0,0
2025-09-01,V001,S0215,P1_05,P2_14,P3_040,900,FI,4.19,0,0.0,900,0,0
2025-09-01,V001,S0226,P1_04,P2_10,P3_029,900,FI,6.85,0,0.0,311,1,1
2025-09-01,V001,S0231,P1_06,P2_16,P3_046,900,FI,4.75,0,0.0,0,1,0
2025-09-01,V001,S0244,P1_08,P2_24,P3_072,900,FI,5.15,0,0.0,900,0,1
2025-09-01,V001,S0247,P1_06,P2_18,P3_052,900,FI,5.69,0,0.0,900,0,1
2025-09-01,V001,S0248,P1_05,P2_13,P3_038,900,FI,1.29,0,0.0,900,0,5
2025-09-01,V001,S0251,P1_08,P2_23,P3_067,900,FI,1.79,0,0.0,0,1,0
2025-09-01,V001,S0252,P1_06,P2_18,P3_053,900,FI,2.89,0,0.0,900,0,2
2025-09-01,V001,S0255,P1_06,P2_18,P3_054,900,FI,3.15,0,0.0,0,1,0
2025-09-01,V001,S0258,P1_06,P2_17,P3_051,900,FI,2.09,0,0.0,0,1,0
2025-09-01,V001,S0264,P1_02,P2_04,P3_011,900,FI,8.59,0,0.0,0,1,0
2025-09-01,V001,S0270,P1_02,P2_05,P3_014,900,FI,2.99,0,0.0,900,0,1
